id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1284008178287120446,Default,,2024-09-13T04:30:05.422+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,I am there
1284008273091104768,Default,,2024-09-13T04:30:28.025+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,okay
1284008330867773440,Default,,2024-09-13T04:30:41.8+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,So logged out
1284008384311328789,Default,,2024-09-13T04:30:54.542+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,when you try to log in with your phone number did you get an error message?
1284008384563249212,Default,,2024-09-13T04:30:54.602+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,Could only log in with email
1284008489861120042,Default,,2024-09-13T04:31:19.707+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,Same error message codes already in use
1284008741200724030,Default,,2024-09-13T04:32:19.631+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,Can you go to the PC and open an incognito window and try to log on with your phone.
1284008971539320855,Default,,2024-09-13T04:33:14.548+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,In Google?
1284008988291235841,Default,,2024-09-13T04:33:18.542+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,sure
1284009366164344918,Default,,2024-09-13T04:34:48.634+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,One sec
1284009404139569166,Default,,2024-09-13T04:34:57.688+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,take your time
1284009493264334870,Default,,2024-09-13T04:35:18.937+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,Google is up
1284009865928507435,Default,,2024-09-13T04:36:47.787+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,It saved discord channel for Harris Walz virtual office
1284009977517707296,Default,,2024-09-13T04:37:14.392+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,do you know how to do incognito?
1284010060065800264,Default,,2024-09-13T04:37:34.073+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,Can you walk me through it?
1284010147944861716,Default,,2024-09-13T04:37:55.025+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"in Chrome, open File menu > choose New Incognito Window"
1284010157285703680,Default,,2024-09-13T04:37:57.252+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,Just found it
1284010212616962048,Default,,2024-09-13T04:38:10.444+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,Ready
1284010441630158888,Default,,2024-09-13T04:39:05.045+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"go to Discord.gg on the new window, click Login, and use your phone number/password. If you don't know password, do the ""forgot password"""
1284010587260588155,Default,,2024-09-13T04:39:39.766+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,I want to know if there is an error message when you log in.
1284011055592374317,Default,,2024-09-13T04:41:31.425+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,No nothing
1284011199058542642,Default,,2024-09-13T04:42:05.63+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,Let me try to rest the password
1284011219338002442,Default,,2024-09-13T04:42:10.465+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,Reset
1284011219627540520,Default,,2024-09-13T04:42:10.534+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,okay
1284011444509081651,Default,,2024-09-13T04:43:04.15+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"after you reset password, log in with phone number and new password"
1284011999960760344,Default,,2024-09-13T04:45:16.58+00:00,jungstir,Jungstir,1276611691970560204,assets\6c5996770c985bcd6e5b68131ff2ba04-A99DD.png,It created another account
