id,type,ref_to,timestamp,author_name,author_nickname,author_id,author_avatar_url,content
1279867194292834326,Default,,2024-09-01T18:15:17.902+00:00,tamer111,Tamer,850449741145833533,assets\1-B2132.png,"Hello, I’ve tried doing the phone bank as a volunteer and I don’t think it’s for me. I still want to support and do something of substance and value to help the campaign over the last couple months. Any suggestions of what’s needed?"
1279876699692994610,Default,,2024-09-01T18:53:04.166+00:00,.billh,billh,911700060360818688,assets\0-EB806.png,Check the texting section. All hail the brave souls who make calls.
1279878370569752588,Default,,2024-09-01T18:59:42.534+00:00,.billh,billh,911700060360818688,assets\0-EB806.png,"Also, https://events.democrats.org/event/620800/ and there was a texting class I attended recently. You might like that, too."
1279879797027115018,Default,,2024-09-01T19:05:22.628+00:00,.billh,billh,911700060360818688,assets\0-EB806.png,"Also, look for chat captain or data captain."
1279881136243474583,Default,,2024-09-01T19:10:41.922+00:00,friendlymushroom517,Phil [MA],1277413430143225909,assets\7314a45ea57d82fd507f66ace00d25ab-B5508.png,"I agree with the above comment on chat and data captain roles. I too tried phone banking and it wasn't for me, but if you're up for roles as a moderator or tech support for those who do, those are roles that are needed. If you're into digital art/memes, you could also be a content creator for the campaign."
1279882138833125456,Reply,1279881136243474583,2024-09-01T19:14:40.958+00:00,thewocky,Jeff Battema WA,960597925602406530,assets\5af2c15db482240b17786fdf9d89ba49-22E94.png,I’m interested in helping create media and I signed up for Kamala’s Content Brigade but haven’t gotten much response.
1279887461853564959,Reply,1279867194292834326,2024-09-01T19:35:50.065+00:00,carb.on,Carolyn B [CA] • Lead Mod,568257600228032512,assets\28a90c77b5793d80eb62484a43c66748-D8837.png,"There is also online engagement using the Reach app. It's very easy, simple, and you do it whenever you want."
1279889186509291570,Reply,1279879797027115018,2024-09-01T19:42:41.255+00:00,tamer111,Tamer,850449741145833533,assets\1-B2132.png,What is the chat captain or data captain?
1279890096081993831,Reply,1279881136243474583,2024-09-01T19:46:18.114+00:00,tamer111,Tamer,850449741145833533,assets\1-B2132.png,"I’m a composer, I could write music for campaign content creators or for the campaign. Beyoncé’s song seems to be the most fitting theme song for the times we’re in."
1279891546807992396,Reply,1279889186509291570,2024-09-01T19:52:03.994+00:00,.billh,billh,911700060360818688,assets\0-EB806.png,"When they have calling sessions, they need a few people in the background helping. The Facilitator is doing all the talking. They need people answering all the questions they get in chat for that session. I'm still learning here and can't find what I want to show you."
1279893844569096353,Default,,2024-09-01T20:01:11.823+00:00,.billh,billh,911700060360818688,assets\0-EB806.png,https://events.democrats.org/event/654850/
1279893925301063781,Default,,2024-09-01T20:01:31.071+00:00,.billh,billh,911700060360818688,assets\0-EB806.png,https://events.democrats.org/event/654890/
1279894320756953253,Default,,2024-09-01T20:03:05.355+00:00,.billh,billh,911700060360818688,assets\0-EB806.png,"After training, you can sign up as a co-captain for a call bank and learn on the job from the other co-captain there."
1279894662907433010,Default,,2024-09-01T20:04:26.93+00:00,.billh,billh,911700060360818688,assets\0-EB806.png,https://events.democrats.org/event/654890/
1280748203020521519,Reply,1279867194292834326,2024-09-04T04:36:06.751+00:00,rootsmusic,rootsmusic,791857656897732648,assets\a30e650576a6d42a3c9ee24648f67c90-2AE37.png,https://events.democrats.org/event/672393/
